id,timestamp,player_id,type,amount
1,2024-01-10 17:07:01+00:00,7,Withdraw,213.13
2,2024-02-09 19:19:27+00:00,4,Withdraw,182.64
3,2024-02-13 05:40:50+00:00,8,Withdraw,184.22
4,2024-02-24 04:35:15+00:00,5,Deposit,304.94
5,2024-03-27 16:28:29+00:00,7,Withdraw,525.23
6,2024-04-05 02:33:27+00:00,10,Deposit,432.51
7,2024-04-16 19:27:32+00:00,3,Withdraw,291.94
8,2024-09-05 07:53:23+00:00,7,Withdraw,612.24
9,2024-10-13 00:24:33+00:00,8,Withdraw,140.35
10,2024-10-14 23:45:05+00:00,5,Withdraw,292.85